#EXPORTTYPE:       ,DATA ALL                        ,,,,
#FILE:             ,李院长 MgO-C C9-骨 C9-基 1400.ngb-dl9,,,,
#FORMAT:           ,NETZSCH5                        ,,,,
#FTYPE:            ,ANSI                            ,,,,
#IDENTITY:         ,C9-基                            ,,,,
#DECIMAL:          ,POINT                           ,,,,
#SEPARATOR:        ,COMMA                           ,,,,
#MTYPE:            ,DIL                             ,,,,
#INSTRUMENT:       ,NETZSCH DIL 402SU               ,,,,
#PROJECT:          ,123,,,,
#DATE/TIME:        ,2025/6/4 16:10:34 (UTC+8)       ,,,,
#CORR. FILE:       ,石墨炉 1400度-1.ngb-cl9             ,,,,
#TEMPCAL:          ,TCALZERO.TMX                    ,,,,
#LABORATORY:       ,wust                            ,,,,
#OPERATOR:         ,                                ,,,,
#REMARK:           ,                                ,,,,
#SAMPLE:           ,镁碳                              ,,,,
#SAMPLE LENGTH /mm:,25.08,,,,
#MATERIAL:         ,镁碳                              ,,,,
#MEASMODE:         ,Standard Expansion              ,,,,
#M.RANGE /μm:      ,50000,,,,
#CORR. CODE:       ,80,,,,
#RANGE:            ,25°C/5.0(K/min)/1403°C          ,,,,
#SEGMENT:          ,S1/2                            ,,,,
#SEG. 1:           ,25°C/5.0(K/min)/1403°C          ,,,,
#Tref:             ,30.0°C                          ,,,,
,,,,,
##Temp./°C,Time/min,dL/Lo,Force/N,Gas Flow(protective)/(ml/min),m. CTE(1)/(1/K)
50,4.64564,2.70E-04,0.29996,60,1.10E-05
51,4.81874,2.76E-04,0.30001,60,1.07E-05
52,4.98442,2.81E-04,0.30001,60,1.05E-05
53,5.14655,2.85E-04,0.30003,60,1.02E-05
54,5.30879,2.88E-04,0.30003,60,9.91E-06
55,5.47464,2.92E-04,0.29999,60,9.68E-06
56,5.64792,2.95E-04,0.29998,60,9.43E-06
57,5.83217,3.00E-04,0.30004,60,9.26E-06
58,6.0326,3.06E-04,0.29996,60,9.13E-06
59,6.25424,3.14E-04,0.30008,60,9.10E-06
60,6.49889,3.24E-04,0.3,60,9.11E-06
61,6.75886,3.35E-04,0.30004,60,9.18E-06
62,7.01386,3.46E-04,0.30005,60,9.25E-06
63,7.25107,3.56E-04,0.30005,60,9.28E-06
64,7.46891,3.66E-04,0.2999,60,9.30E-06
65,7.66939,3.72E-04,0.30003,60,9.19E-06
66,7.85555,3.78E-04,0.3,60,9.11E-06
67,8.03033,3.82E-04,0.29993,60,8.99E-06
68,8.19788,3.86E-04,0.30001,60,8.85E-06
69,8.36132,3.88E-04,0.29999,60,8.67E-06
70,8.52413,3.91E-04,0.30007,60,8.52E-06
71,8.68946,3.95E-04,0.29995,60,8.41E-06
72,8.86115,3.98E-04,0.3,60,8.27E-06
73,9.04349,4.02E-04,0.30005,60,8.18E-06
74,9.24096,4.07E-04,0.30005,60,8.12E-06
75,9.45794,4.15E-04,0.3,60,8.11E-06
76,9.69478,4.24E-04,0.29998,60,8.13E-06
77,9.9426,4.34E-04,0.2999,60,8.17E-06
78,10.18614,4.45E-04,0.30003,60,8.22E-06
79,10.41613,4.54E-04,0.29997,60,8.25E-06
80,10.63044,4.62E-04,0.29998,60,8.25E-06
81,10.8304,4.69E-04,0.29999,60,8.22E-06
82,11.01891,4.75E-04,0.29999,60,8.17E-06
83,11.19767,4.79E-04,0.30001,60,8.10E-06
84,11.36924,4.84E-04,0.30004,60,8.04E-06
85,11.53675,4.88E-04,0.29999,60,7.96E-06
86,11.70419,4.91E-04,0.29998,60,7.87E-06
87,11.87488,4.95E-04,0.3,60,7.80E-06
88,12.05264,4.99E-04,0.29996,60,7.75E-06
89,12.24117,5.05E-04,0.29999,60,7.70E-06
90,12.44477,5.11E-04,0.30003,60,7.69E-06
91,12.66636,5.20E-04,0.29996,60,7.70E-06
92,12.90325,5.30E-04,0.29993,60,7.74E-06
93,13.14559,5.40E-04,0.29997,60,7.78E-06
94,13.38261,5.51E-04,0.29997,60,7.82E-06
95,13.60846,5.59E-04,0.29998,60,7.83E-06
96,13.82116,5.67E-04,0.30005,60,7.83E-06
97,14.02163,5.74E-04,0.29997,60,7.82E-06
98,14.2121,5.79E-04,0.29999,60,7.78E-06
99,14.39454,5.84E-04,0.30004,60,7.74E-06
100,14.5715,5.89E-04,0.30002,60,7.70E-06
101,14.74513,5.94E-04,0.29997,60,7.66E-06
102,14.9186,5.99E-04,0.30005,60,7.62E-06
103,15.09485,6.03E-04,0.29997,60,7.58E-06
104,15.27729,6.09E-04,0.29996,60,7.55E-06
105,15.46937,6.16E-04,0.3,60,7.54E-06
106,15.67433,6.24E-04,0.30002,60,7.55E-06
107,15.89357,6.33E-04,0.3,60,7.57E-06
108,16.12355,6.42E-04,0.30002,60,7.59E-06
109,16.357,6.52E-04,0.3,60,7.62E-06
110,16.58786,6.63E-04,0.29999,60,7.66E-06
111,16.81205,6.71E-04,0.3,60,7.67E-06
112,17.02829,6.79E-04,0.3,60,7.68E-06
113,17.23686,6.87E-04,0.3,60,7.67E-06
114,17.43861,6.93E-04,0.3,60,7.66E-06
115,17.63464,7.00E-04,0.30001,60,7.64E-06
116,17.82614,7.06E-04,0.30001,60,7.62E-06
117,18.01486,7.12E-04,0.29998,60,7.61E-06
118,18.20235,7.18E-04,0.29999,60,7.59E-06
119,18.38975,7.25E-04,0.30007,60,7.58E-06
120,18.57839,7.32E-04,0.30003,60,7.57E-06
121,18.76933,7.39E-04,0.29994,60,7.57E-06
122,18.96369,7.44E-04,0.29995,60,7.54E-06
123,19.16281,7.52E-04,0.29995,60,7.55E-06
124,19.3677,7.61E-04,0.29994,60,7.57E-06
