#EXPORTTYPE:       ,DATA ALL                          
#FILE:             ,李院长 MgO-C C15-骨 C15-基 1400.ngb-dl9
#FORMAT:           ,NETZSCH5                          
#FTYPE:            ,ANSI                              
#IDENTITY:         ,C15-基                             
#DECIMAL:          ,POINT                             
#SEPARATOR:        ,COMMA                             
#MTYPE:            ,DIL                               
#INSTRUMENT:       ,NETZSCH DIL 402SU                 
#PROJECT:          ,123                               
#DATE/TIME:        ,2025/6/5 17:20:27 (UTC+8)         
#CORR. FILE:       ,石墨炉 1400度-1.ngb-cl9               
#TEMPCAL:          ,TCALZERO.TMX                      
#LABORATORY:       ,wust                              
#OPERATOR:         ,                                  
#REMARK:           ,                                  
#SAMPLE:           ,镁碳                                
#SAMPLE LENGTH /mm:,25.68                             
#MATERIAL:         ,镁碳                                
#MEASMODE:         ,Standard Expansion                
#M.RANGE /μm:      ,50000                             
#CORR. CODE:       ,080                               
#RANGE:            ,25°C/5.0(K/min)/1403°C            
#SEGMENT:          ,S1/2                              
#SEG. 1:           ,25°C/5.0(K/min)/1403°C            
#Tref:             ,30.0°C                            

##Temp./°C,Time/min,dL/Lo,Force/N,Gas Flow(protective)/(ml/min),m. CTE(1)/(1/K)
  50.00000,  4.67629,2.635410e-004,0.30000,60.00000,1.086820e-005
  51.00000,  4.84124,2.693649e-004,0.29995,60.00000,1.062308e-005
  52.00000,  5.00197,2.737347e-004,0.30002,60.00000,1.033530e-005
  53.00000,  5.16198,2.777743e-004,0.30001,60.00000,1.005947e-005
  54.00000,  5.32484,2.816676e-004,0.30002,60.00000,9.801406e-006
  55.00000,  5.49393,2.853796e-004,0.29997,60.00000,9.555136e-006
  56.00000,  5.67306,2.897740e-004,0.29997,60.00000,9.356532e-006
  57.00000,  5.86570,2.949714e-004,0.30001,60.00000,9.205145e-006
  58.00000,  6.07617,3.018394e-004,0.30002,60.00000,9.121203e-006
  59.00000,  6.30755,3.101118e-004,0.30002,60.00000,9.095642e-006
  60.00000,  6.55673,3.204930e-004,0.30000,60.00000,9.139734e-006
  61.00000,  6.80861,3.319580e-004,0.29999,60.00000,9.214733e-006
  62.00000,  7.04832,3.428707e-004,0.30002,60.00000,9.269418e-006
  63.00000,  7.27003,3.529305e-004,0.29999,60.00000,9.296026e-006
  64.00000,  7.47456,3.615675e-004,0.30002,60.00000,9.275796e-006
  65.00000,  7.66487,3.687419e-004,0.30003,60.00000,9.214606e-006
  66.00000,  7.84358,3.751657e-004,0.30001,60.00000,9.137666e-006
  67.00000,  8.01381,3.807553e-004,0.30000,60.00000,9.040689e-006
  68.00000,  8.17885,3.851117e-004,0.30000,60.00000,8.917234e-006
  69.00000,  8.34235,3.891230e-004,0.30000,60.00000,8.788252e-006
  70.00000,  8.50803,3.931150e-004,0.30001,60.00000,8.667614e-006
  71.00000,  8.67981,3.971561e-004,0.29999,60.00000,8.554213e-006
  72.00000,  8.86171,4.014551e-004,0.29998,60.00000,8.451061e-006
  73.00000,  9.05776,4.070392e-004,0.30001,60.00000,8.387062e-006
  74.00000,  9.27255,4.144312e-004,0.30001,60.00000,8.363264e-006
  75.00000,  9.50758,4.236357e-004,0.29999,60.00000,8.383800e-006
  76.00000,  9.75466,4.347981e-004,0.30000,60.00000,8.444563e-006
  77.00000,  9.99973,4.467287e-004,0.30003,60.00000,8.519649e-006
  78.00000, 10.23250,4.578311e-004,0.30002,60.00000,8.575088e-006
  79.00000, 10.44943,4.680176e-004,0.30000,60.00000,8.607909e-006
  80.00000, 10.65146,4.766942e-004,0.29998,60.00000,8.609203e-006
  81.00000, 10.84116,4.841711e-004,0.30003,60.00000,8.586211e-006
  82.00000, 11.02082,4.908998e-004,0.29998,60.00000,8.550865e-006
  83.00000, 11.19369,4.962742e-004,0.30000,60.00000,8.490728e-006
  84.00000, 11.36279,5.015950e-004,0.30000,60.00000,8.430704e-006
  85.00000, 11.53138,5.061199e-004,0.30001,60.00000,8.359142e-006
  86.00000, 11.70332,5.110192e-004,0.30002,60.00000,8.296780e-006
  87.00000, 11.88285,5.162220e-004,0.29999,60.00000,8.242047e-006
  88.00000, 12.07337,5.223192e-004,0.29998,60.00000,8.205682e-006
  89.00000, 12.27876,5.297635e-004,0.29998,60.00000,8.191990e-006
  90.00000, 12.50203,5.383868e-004,0.30002,60.00000,8.199890e-006
  91.00000, 12.73997,5.483622e-004,0.30001,60.00000,8.230143e-006
  92.00000, 12.98162,5.589737e-004,0.30000,60.00000,8.269326e-006
  93.00000, 13.21666,5.699539e-004,0.30003,60.00000,8.311953e-006
  94.00000, 13.43971,5.796060e-004,0.30004,60.00000,8.333508e-006
  95.00000, 13.64921,5.886381e-004,0.30001,60.00000,8.344491e-006
  96.00000, 13.84744,5.967750e-004,0.30002,60.00000,8.341650e-006
  97.00000, 14.03636,6.035216e-004,0.30002,60.00000,8.317067e-006
  98.00000, 14.21727,6.098294e-004,0.30002,60.00000,8.287979e-006
  99.00000, 14.39281,6.153653e-004,0.30000,60.00000,8.247723e-006
 100.00000, 14.56579,6.210216e-004,0.30002,60.00000,8.209873e-006
 101.00000, 14.73960,6.263865e-004,0.29999,60.00000,8.169358e-006
 102.00000, 14.91782,6.322363e-004,0.30001,60.00000,8.137110e-006
 103.00000, 15.10421,6.388935e-004,0.30001,60.00000,8.115978e-006
 104.00000, 15.30147,6.464864e-004,0.30001,60.00000,8.109070e-006
 105.00000, 15.51311,6.553702e-004,0.29998,60.00000,8.119343e-006
 106.00000, 15.73972,6.654167e-004,0.29999,60.00000,8.145279e-006
 107.00000, 15.97439,6.762066e-004,0.30000,60.00000,8.180515e-006
 108.00000, 16.20790,6.869178e-004,0.29999,60.00000,8.212644e-006
 109.00000, 16.43572,6.968846e-004,0.30002,60.00000,8.235872e-006
 110.00000, 16.65413,7.064537e-004,0.29999,60.00000,8.252069e-006
 111.00000, 16.86211,7.148801e-004,0.30000,60.00000,8.254173e-006
 112.00000, 17.06100,7.227317e-004,0.30001,60.00000,8.249946e-006
 113.00000, 17.25210,7.296758e-004,0.29999,60.00000,8.233569e-006
 114.00000, 17.43731,7.362194e-004,0.30001,60.00000,8.213704e-006
 115.00000, 17.61848,7.420707e-004,0.29997,60.00000,8.185829e-006
 116.00000, 17.79684,7.477868e-004,0.30001,60.00000,8.156628e-006
 117.00000, 17.97505,7.540749e-004,0.30001,60.00000,8.134935e-006
 118.00000, 18.15608,7.601860e-004,0.29998,60.00000,8.111242e-006
 119.00000, 18.34239,7.670468e-004,0.29999,60.00000,8.097647e-006
 120.00000, 18.53695,7.742600e-004,0.30001,60.00000,8.087033e-006
 121.00000, 18.74081,7.821087e-004,0.30001,60.00000,8.085209e-006
 122.00000, 18.95404,7.909697e-004,0.29999,60.00000,8.093744e-006
 123.00000, 19.17423,7.999308e-004,0.30001,60.00000,8.103355e-006
 124.00000, 19.39697,8.094855e-004,0.30002,60.00000,8.118707e-006
 125.00000, 19.61870,8.187557e-004,0.29999,60.00000,8.130985e-006
 126.00000, 19.83604,8.277925e-004,0.29999,60.00000,8.140396e-006
 127.00000, 20.04769,8.362303e-004,0.30002,60.00000,8.143713e-006
 128.00000, 20.25404,8.447918e-004,0.30000,60.00000,8.148275e-006
 129.00000, 20.45514,8.525243e-004,0.29998,60.00000,8.143672e-006
 130.00000, 20.65146,8.598619e-004,0.30000,60.00000,8.136035e-006
 131.00000, 20.84419,8.668697e-004,0.29999,60.00000,8.124536e-006
 132.00000, 21.03433,8.736100e-004,0.29998,60.00000,8.110605e-006
 133.00000, 21.22272,8.803370e-004,0.29998,60.00000,8.097254e-006
 134.00000, 21.41028,8.867924e-004,0.29999,60.00000,8.081623e-006
 135.00000, 21.59859,8.934244e-004,0.29999,60.00000,8.067896e-006
 136.00000, 21.78865,9.004251e-004,0.29998,60.00000,8.057211e-006
 137.00000, 21.98101,9.073472e-004,0.29999,60.00000,8.046556e-006
 138.00000, 22.17657,9.146612e-004,0.29999,60.00000,8.040157e-006
 139.00000, 22.37655,9.221198e-004,0.30002,60.00000,8.034619e-006
 140.00000, 22.58108,9.302694e-004,0.29998,60.00000,8.035620e-006
 141.00000, 22.78956,9.379886e-004,0.29999,60.00000,8.032977e-006
 142.00000, 23.00169,9.465099e-004,0.29997,60.00000,8.037710e-006
 143.00000, 23.21700,9.551341e-004,0.30001,60.00000,8.042380e-006
 144.00000, 23.43484,9.643215e-004,0.30003,60.00000,8.052521e-006
 145.00000, 23.65370,9.730861e-004,0.29998,60.00000,8.058905e-006
 146.00000, 23.87235,9.818007e-004,0.29999,60.00000,8.064427e-006
 147.00000, 24.09081,9.905522e-004,0.29999,60.00000,8.070130e-006
 148.00000, 24.30753,9.987089e-004,0.30000,60.00000,8.071284e-006
 149.00000, 24.52114,1.006688e-003,0.30000,60.00000,8.070700e-006
 150.00000, 24.73127,1.014790e-003,0.29999,60.00000,8.070823e-006
 151.00000, 24.93806,1.022490e-003,0.29998,60.00000,8.067677e-006
 152.00000, 25.14223,1.029852e-003,0.30005,60.00000,8.062422e-006
 153.00000, 25.34330,1.037508e-003,0.30000,60.00000,8.059053e-006
 154.00000, 25.54219,1.044975e-003,0.30004,60.00000,8.053616e-006
 155.00000, 25.73964,1.052544e-003,0.29999,60.00000,8.050086e-006
 156.00000, 25.93594,1.059674e-003,0.29998,60.00000,8.042658e-006
 157.00000, 26.13184,1.067047e-003,0.30001,60.00000,8.037118e-006
 158.00000, 26.32778,1.074332e-003,0.30003,60.00000,8.031378e-006
 159.00000, 26.52437,1.081571e-003,0.29999,60.00000,8.025269e-006
 160.00000, 26.72207,1.089164e-003,0.30003,60.00000,8.021589e-006
 161.00000, 26.92114,1.096619e-003,0.29999,60.00000,8.017738e-006
 162.00000, 27.12273,1.103926e-003,0.30000,60.00000,8.012192e-006
 163.00000, 27.32654,1.112097e-003,0.30001,60.00000,8.013330e-006
 164.00000, 27.53199,1.119881e-003,0.29999,60.00000,8.011574e-006
 165.00000, 27.73911,1.127827e-003,0.30003,60.00000,8.011229e-006
 166.00000, 27.94801,1.135928e-003,0.30000,60.00000,8.011873e-006
 167.00000, 28.15795,1.143664e-003,0.30003,60.00000,8.009688e-006
 168.00000, 28.36844,1.151717e-003,0.30001,60.00000,8.010002e-006
 169.00000, 28.57914,1.159420e-003,0.29998,60.00000,8.007886e-006
 170.00000, 28.78940,1.166905e-003,0.30000,60.00000,8.004108e-006
 171.00000, 28.99869,1.174831e-003,0.30001,60.00000,8.003652e-006
 172.00000, 29.20694,1.182136e-003,0.30002,60.00000,7.999096e-006
 173.00000, 29.41401,1.190087e-003,0.30002,60.00000,7.998354e-006
 174.00000, 29.61896,1.197530e-003,0.29999,60.00000,7.994503e-006
 175.00000, 29.82258,1.205011e-003,0.30000,60.00000,7.991069e-006
 176.00000, 30.02516,1.212213e-003,0.29999,60.00000,7.985744e-006
 177.00000, 30.22632,1.219638e-003,0.29998,60.00000,7.981561e-006
 178.00000, 30.42635,1.226880e-003,0.30003,60.00000,7.976835e-006
 179.00000, 30.62582,1.234427e-003,0.30001,60.00000,7.973774e-006
 180.00000, 30.82488,1.241689e-003,0.30002,60.00000,7.969248e-006
 181.00000, 31.02404,1.249505e-003,0.30000,60.00000,7.967930e-006
 182.00000, 31.22355,1.257105e-003,0.30007,60.00000,7.965811e-006
 183.00000, 31.42369,1.265374e-003,0.30002,60.00000,7.967909e-006
 184.00000, 31.62438,1.273863e-003,0.29996,60.00000,7.971155e-006
 185.00000, 31.82513,1.281951e-003,0.29999,60.00000,7.971787e-006
 186.00000, 32.02602,1.290211e-003,0.29999,60.00000,7.973774e-006
 187.00000, 32.22751,1.298513e-003,0.29999,60.00000,7.975798e-006
 188.00000, 32.42996,1.307153e-003,0.29999,60.00000,7.979890e-006
 189.00000, 32.63317,1.315113e-003,0.30000,60.00000,7.979910e-006
 190.00000, 32.83728,1.323620e-003,0.29999,60.00000,7.983162e-006
 191.00000, 33.04219,1.331738e-003,0.29998,60.00000,7.984151e-006
 192.00000, 33.24681,1.339918e-003,0.30000,60.00000,7.985215e-006
 193.00000, 33.45116,1.347699e-003,0.30004,60.00000,7.983906e-006
 194.00000, 33.65542,1.355963e-003,0.30001,60.00000,7.985797e-006
 195.00000, 33.85927,1.363912e-003,0.29999,60.00000,7.985449e-006
 196.00000, 34.06273,1.371975e-003,0.30000,60.00000,7.985964e-006
 197.00000, 34.26569,1.379796e-003,0.29997,60.00000,7.984958e-006
 198.00000, 34.46832,1.387519e-003,0.30001,60.00000,7.983415e-006
 199.00000, 34.67077,1.395744e-003,0.29999,60.00000,7.984818e-006
 200.00000, 34.87252,1.403752e-003,0.30001,60.00000,7.985190e-006
 201.00000, 35.07433,1.411435e-003,0.30001,60.00000,7.983366e-006
 202.00000, 35.27544,1.419369e-003,0.29998,60.00000,7.983030e-006
 203.00000, 35.47573,1.426948e-003,0.30001,60.00000,7.980598e-006
 204.00000, 35.67622,1.434704e-003,0.30000,60.00000,7.979377e-006
 205.00000, 35.87644,1.442352e-003,0.30000,60.00000,7.977342e-006
 206.00000, 36.07647,1.450159e-003,0.29999,60.00000,7.976240e-006
 207.00000, 36.27668,1.457954e-003,0.30001,60.00000,7.975463e-006
 208.00000, 36.47689,1.465701e-003,0.30001,60.00000,7.974010e-006
 209.00000, 36.67702,1.473754e-003,0.30004,60.00000,7.974281e-006
 210.00000, 36.87689,1.481866e-003,0.30003,60.00000,7.975386e-006
 211.00000, 37.07646,1.490111e-003,0.30000,60.00000,7.976714e-006
 212.00000, 37.27579,1.498173e-003,0.29999,60.00000,7.977305e-006
 213.00000, 37.47496,1.506433e-003,0.29998,60.00000,7.978654e-006
 214.00000, 37.67410,1.514792e-003,0.29998,60.00000,7.980864e-006
 215.00000, 37.87301,1.522871e-003,0.30001,60.00000,7.981515e-006
 216.00000, 38.07124,1.531344e-003,0.29999,60.00000,7.984089e-006
 217.00000, 38.26936,1.539703e-003,0.30000,60.00000,7.985939e-006
 218.00000, 38.46737,1.547906e-003,0.30001,60.00000,7.987253e-006
 219.00000, 38.66466,1.556148e-003,0.30003,60.00000,7.988573e-006
 220.00000, 38.86168,1.564500e-003,0.30002,60.00000,7.990430e-006
 221.00000, 39.05861,1.572874e-003,0.29999,60.00000,7.992483e-006
 222.00000, 39.25547,1.581045e-003,0.29998,60.00000,7.993425e-006
 223.00000, 39.45228,1.588925e-003,0.30003,60.00000,7.992887e-006
 224.00000, 39.64928,1.597308e-003,0.30000,60.00000,7.994736e-006
 225.00000, 39.84657,1.605127e-003,0.30000,60.00000,7.993897e-006
 226.00000, 40.04442,1.613146e-003,0.30000,60.00000,7.993990e-006
 227.00000, 40.24251,1.620679e-003,0.30000,60.00000,7.991769e-006
 228.00000, 40.44090,1.628914e-003,0.29998,60.00000,7.992792e-006
 229.00000, 40.63944,1.636692e-003,0.30002,60.00000,7.991919e-006
 230.00000, 40.83796,1.644454e-003,0.30001,60.00000,7.990610e-006
 231.00000, 41.03677,1.652411e-003,0.29999,60.00000,7.990376e-006
 232.00000, 41.23555,1.660084e-003,0.30000,60.00000,7.989030e-006
 233.00000, 41.43438,1.667824e-003,0.30002,60.00000,7.987499e-006
 234.00000, 41.63318,1.675681e-003,0.30001,60.00000,7.987253e-006
 235.00000, 41.83193,1.683319e-003,0.29999,60.00000,7.985458e-006
 236.00000, 42.03036,1.691137e-003,0.30000,60.00000,7.984502e-006
 237.00000, 42.22850,1.699147e-003,0.29996,60.00000,7.984444e-006
 238.00000, 42.42640,1.707087e-003,0.30003,60.00000,7.984310e-006
