#EXPORTTYPE:       ,DATA ALL                          
#FILE:             ,李院长 MgO-C C15-骨 C15-基 1400.ngb-dl9
#FORMAT:           ,NETZSCH5                          
#FTYPE:            ,ANSI                              
#IDENTITY:         ,C15-基                             
#DECIMAL:          ,POINT                             
#SEPARATOR:        ,COMMA                             
#MTYPE:            ,DIL                               
#INSTRUMENT:       ,NETZSCH DIL 402SU                 
#PROJECT:          ,123                               
#DATE/TIME:        ,2025/6/5 17:20:27 (UTC+8)         
#CORR. FILE:       ,石墨炉 1400度-1.ngb-cl9               
#TEMPCAL:          ,TCALZERO.TMX                      
#LABORATORY:       ,wust                              
#OPERATOR:         ,                                  
#REMARK:           ,                                  
#SAMPLE:           ,镁碳                                
#SAMPLE LENGTH /mm:,25.68                             
#MATERIAL:         ,镁碳                                
#MEASMODE:         ,Standard Expansion                
#M.RANGE /μm:      ,50000                             
#CORR. CODE:       ,080                               
#RANGE:            ,1403°C/5.0(K/min)/200°C           
#SEGMENT:          ,S2/2                              
#SEG. 2:           ,1403°C/5.0(K/min)/200°C           
#Tref:             ,210.0°C                           

##Temp./°C,Time/min,dL/Lo,Force/N,Gas Flow(protective)/(ml/min),m. CTE(2)/(1/K)
 201.07001,516.18250,-2.986154e-004,0.29999,60.00000,4.955325e-006
 202.07001,515.98262,-2.932963e-004,0.29999,60.00000,4.910949e-006
 203.07001,515.78021,-2.879581e-004,0.29998,60.00000,4.850903e-006
 204.07001,515.57604,-2.830046e-004,0.30000,60.00000,4.830491e-006
 205.07001,515.37136,-2.783778e-004,0.30000,60.00000,4.776379e-006
 206.07001,515.16854,-2.731223e-004,0.30002,60.00000,4.730503e-006
 207.07001,514.96927,-2.679378e-004,0.29999,60.00000,4.685646e-006
 208.07001,514.77395,-2.631566e-004,0.29998,60.00000,4.641678e-006
 209.07001,514.58231,-2.584043e-004,0.30000,60.00000,4.598539e-006
 210.07001,514.39269,-2.537100e-004,0.29998,60.00000,4.555854e-006
 211.07001,514.20355,-2.494022e-004,0.30001,60.00000,4.513275e-006
 212.07001,514.01319,-2.458972e-004,0.29998,60.00000,4.470424e-006
 213.07001,513.82007,-2.411878e-004,0.30003,60.00000,4.426951e-006
 214.07001,513.62339,-2.366695e-004,0.30000,60.00000,4.382678e-006
 215.07001,513.42296,-2.323405e-004,0.29998,60.00000,4.337591e-006
 216.07001,513.21915,-2.278846e-004,0.30001,60.00000,4.363392e-006
 217.07001,513.01443,-2.235458e-004,0.30000,60.00000,4.359981e-006
 218.07001,512.81146,-2.184217e-004,0.29999,60.00000,4.456295e-006
 219.07001,512.61162,-2.126745e-004,0.30000,60.00000,4.597111e-006
 220.07001,512.41649,-2.074333e-004,0.29999,60.00000,4.663980e-006
 221.07001,512.22515,-2.023069e-004,0.30000,60.00000,4.703243e-006
 222.07001,512.03620,-1.974285e-004,0.29998,60.00000,4.718652e-006
 223.07001,511.84764,-1.926113e-004,0.29998,60.00000,4.724422e-006
 224.07001,511.65741,-1.878672e-004,0.30001,60.00000,4.724659e-006
 225.07001,511.46377,-1.835836e-004,0.30000,60.00000,4.694862e-006
 226.07001,511.26548,-1.799171e-004,0.30001,60.00000,4.630819e-006
 227.07001,511.06285,-1.746419e-004,0.30002,60.00000,4.669158e-006
 228.07001,510.85743,-1.700327e-004,0.29999,60.00000,4.665928e-006
 229.07001,510.65110,-1.640523e-004,0.29999,60.00000,4.736103e-006
 230.07001,510.44715,-1.580654e-004,0.30000,60.00000,4.799073e-006
 231.07001,510.24783,-1.522534e-004,0.30000,60.00000,4.847463e-006
 232.07001,510.05309,-1.463720e-004,0.29997,60.00000,4.894444e-006
 233.07001,509.86131,-1.407525e-004,0.30000,60.00000,4.926090e-006
 234.07001,509.67107,-1.353874e-004,0.30001,60.00000,4.943186e-006
 235.07001,509.48101,-1.298693e-004,0.29996,60.00000,4.965260e-006
 236.07001,509.28884,-1.245640e-004,0.30000,60.00000,4.977655e-006
 237.07001,509.09268,-1.192911e-004,0.30002,60.00000,4.988844e-006
 238.07001,508.89248,-1.140384e-004,0.29999,60.00000,4.999363e-006
 239.07001,508.68882,-1.087963e-004,0.29999,60.00000,5.007705e-006
 240.07001,508.48355,-1.028702e-004,0.29998,60.00000,5.038665e-006
 241.07001,508.27941,-9.678143e-005,0.30001,60.00000,5.071929e-006
 242.07001,508.07798,-9.089502e-005,0.30000,60.00000,5.097435e-006
 243.07001,507.88087,-8.532736e-005,0.30001,60.00000,5.112045e-006
 244.07001,507.68753,-7.979270e-005,0.29998,60.00000,5.123450e-006
 245.07001,507.49671,-7.420962e-005,0.30000,60.00000,5.136466e-006
 246.07001,507.30658,-6.930559e-005,0.29996,60.00000,5.130125e-006
 247.07001,507.11493,-6.532444e-005,0.30003,60.00000,5.099456e-006
 248.07001,506.92084,-6.040154e-005,0.30002,60.00000,5.094890e-006
 249.07001,506.72365,-5.524983e-005,0.30002,60.00000,5.096515e-006
 250.07001,506.52376,-5.011412e-005,0.29999,60.00000,5.097008e-006
 251.07001,506.32260,-4.451399e-005,0.29999,60.00000,5.109605e-006
 252.07001,506.12132,-3.966338e-005,0.29997,60.00000,5.103197e-006
 253.07001,505.92130,-3.503257e-005,0.29999,60.00000,5.092771e-006
 254.07001,505.72371,-2.973760e-005,0.29999,60.00000,5.097507e-006
 255.07001,505.52824,-2.523218e-005,0.29999,60.00000,5.084173e-006
 256.07001,505.33417,-2.069693e-005,0.30000,60.00000,5.072019e-006
 257.07001,505.14058,-1.585214e-005,0.30000,60.00000,5.067327e-006
 258.07001,504.94621,-1.059321e-005,0.29997,60.00000,5.071226e-006
