#EXPORTTYPE:       ,DATA ALL                          
#FILE:             ,李院长 MgO-C C15-骨 C15-基 1400.ngb-dl9
#FORMAT:           ,NETZSCH5                          
#FTYPE:            ,ANSI                              
#IDENTITY:         ,C15-骨                             
#DECIMAL:          ,POINT                             
#SEPARATOR:        ,COMMA                             
#MTYPE:            ,DIL                               
#INSTRUMENT:       ,NETZSCH DIL 402SU                 
#PROJECT:          ,123                               
#DATE/TIME:        ,2025/6/5 17:20:27 (UTC+8)         
#CORR. FILE:       ,石墨炉 1400度-1.ngb-cl9               
#TEMPCAL:          ,TCALZERO.TMX                      
#LABORATORY:       ,wust                              
#OPERATOR:         ,                                  
#REMARK:           ,                                  
#SAMPLE:           ,镁碳                                
#SAMPLE LENGTH /mm:,25.96                             
#MATERIAL:         ,镁碳                                
#MEASMODE:         ,Standard Expansion                
#M.RANGE /μm:      ,50000                             
#CORR. CODE:       ,080                               
#RANGE:            ,25°C/5.0(K/min)/1403°C            
#SEGMENT:          ,S1/2                              
#SEG. 1:           ,25°C/5.0(K/min)/1403°C            
#Tref:             ,30.0°C                            

##Temp./°C,Time/min,dL/Lo,Gas Flow(protective)/(ml/min),m. CTE(1)/(1/K)
  50.00000,  4.67629,2.496846e-004,60.00000,1.023689e-005
  51.00000,  4.84124,2.553559e-004,60.00000,1.001482e-005
  52.00000,  5.00197,2.598803e-004,60.00000,9.761918e-006
  53.00000,  5.16198,2.629572e-004,60.00000,9.469295e-006
  54.00000,  5.32484,2.663562e-004,60.00000,9.215292e-006
  55.00000,  5.49393,2.694951e-004,60.00000,8.969719e-006
  56.00000,  5.67306,2.721088e-004,60.00000,8.725189e-006
  57.00000,  5.86570,2.769503e-004,60.00000,8.583831e-006
  58.00000,  6.07617,2.824864e-004,60.00000,8.474563e-006
  59.00000,  6.30755,2.899114e-004,60.00000,8.441813e-006
  60.00000,  6.55673,2.996389e-004,60.00000,8.485823e-006
  61.00000,  6.80861,3.099942e-004,60.00000,8.546133e-006
  62.00000,  7.04832,3.208188e-004,60.00000,8.618845e-006
  63.00000,  7.27003,3.318205e-004,60.00000,8.693538e-006
  64.00000,  7.47456,3.399821e-004,60.00000,8.677104e-006
  65.00000,  7.66487,3.475085e-004,60.00000,8.643149e-006
  66.00000,  7.84358,3.552261e-004,60.00000,8.618013e-006
  67.00000,  8.01381,3.605610e-004,60.00000,8.528248e-006
  68.00000,  8.17885,3.646720e-004,60.00000,8.411838e-006
  69.00000,  8.34235,3.691381e-004,60.00000,8.307640e-006
  70.00000,  8.50803,3.729269e-004,60.00000,8.193984e-006
  71.00000,  8.67981,3.767271e-004,60.00000,8.086290e-006
  72.00000,  8.86171,3.812932e-004,60.00000,8.000736e-006
  73.00000,  9.05776,3.863325e-004,60.00000,7.934390e-006
  74.00000,  9.27255,3.931199e-004,60.00000,7.907208e-006
  75.00000,  9.50758,4.013680e-004,60.00000,7.916527e-006
  76.00000,  9.75466,4.106831e-004,60.00000,7.947276e-006
  77.00000,  9.99973,4.216263e-004,60.00000,8.011877e-006
  78.00000, 10.23250,4.329287e-004,60.00000,8.081968e-006
  79.00000, 10.44943,4.425952e-004,60.00000,8.114241e-006
  80.00000, 10.65146,4.509704e-004,60.00000,8.119388e-006
  81.00000, 10.84116,4.590463e-004,60.00000,8.117792e-006
  82.00000, 11.02082,4.652618e-004,60.00000,8.081561e-006
  83.00000, 11.19369,4.712328e-004,60.00000,8.041552e-006
  84.00000, 11.36279,4.761374e-004,60.00000,7.982209e-006
  85.00000, 11.53138,4.803050e-004,60.00000,7.912333e-006
  86.00000, 11.70332,4.848767e-004,60.00000,7.852133e-006
  87.00000, 11.88285,4.900666e-004,60.00000,7.804997e-006
  88.00000, 12.07337,4.957471e-004,60.00000,7.768951e-006
  89.00000, 12.27876,5.026466e-004,60.00000,7.753469e-006
  90.00000, 12.50203,5.109574e-004,60.00000,7.763432e-006
  91.00000, 12.73997,5.211051e-004,60.00000,7.803604e-006
  92.00000, 12.98162,5.305129e-004,60.00000,7.830204e-006
  93.00000, 13.21666,5.422607e-004,60.00000,7.892012e-006
