#EXPORTTYPE:       ,DATA ALL                          
#FILE:             ,李院长 MgO-C C15-骨 C15-基 1400.ngb-dl9
#FORMAT:           ,NETZSCH5                          
#FTYPE:            ,ANSI                              
#IDENTITY:         ,C15-骨                             
#DECIMAL:          ,POINT                             
#SEPARATOR:        ,COMMA                             
#MTYPE:            ,DIL                               
#INSTRUMENT:       ,NETZSCH DIL 402SU                 
#PROJECT:          ,123                               
#DATE/TIME:        ,2025/6/5 17:20:27 (UTC+8)         
#CORR. FILE:       ,石墨炉 1400度-1.ngb-cl9               
#TEMPCAL:          ,TCALZERO.TMX                      
#LABORATORY:       ,wust                              
#OPERATOR:         ,                                  
#REMARK:           ,                                  
#SAMPLE:           ,镁碳                                
#SAMPLE LENGTH /mm:,25.96                             
#MATERIAL:         ,镁碳                                
#MEASMODE:         ,Standard Expansion                
#M.RANGE /μm:      ,50000                             
#CORR. CODE:       ,080                               
#RANGE:            ,1403°C/5.0(K/min)/200°C           
#SEGMENT:          ,S2/2                              
#SEG. 2:           ,1403°C/5.0(K/min)/200°C           
#Tref:             ,210.0°C                           

##Temp./°C,Time/min,dL/Lo,Force/N,Gas Flow(protective)/(ml/min),m. CTE(2)/(1/K)
 201.07001,516.18250,-6.003182e-006,0.29999,60.00000,5.330120e-006
 202.07001,515.98262,-4.632236e-007,0.29999,60.00000,5.305270e-006
 203.07001,515.78021, 5.319564e-006,0.29999,60.00000,5.238095e-006
 204.07001,515.57604, 1.084619e-005,0.29998,60.00000,5.186175e-006
 205.07001,515.37136, 1.629536e-005,0.30003,60.00000,5.077190e-006
 206.07001,515.16854, 2.201442e-005,0.29999,60.00000,4.997354e-006
 207.07001,514.96927, 2.717239e-005,0.30001,60.00000,4.918981e-006
 208.07001,514.77395, 3.201125e-005,0.29998,60.00000,4.842161e-006
 209.07001,514.58231, 3.713337e-005,0.29999,60.00000,4.766788e-006
 210.07001,514.39269, 4.202896e-005,0.29999,60.00000,4.692210e-006
 211.07001,514.20355, 4.663508e-005,0.30002,60.00000,4.617817e-006
 212.07001,514.01319, 5.064343e-005,0.30003,60.00000,4.542947e-006
 213.07001,513.82007, 5.546756e-005,0.29998,60.00000,4.466993e-006
 214.07001,513.62339, 5.980761e-005,0.30001,60.00000,4.389639e-006
 215.07001,513.42296, 6.348659e-005,0.29998,60.00000,4.311310e-006
 216.07001,513.21915, 6.739094e-005,0.30000,60.00000,4.250560e-006
 217.07001,513.01443, 7.150828e-005,0.29996,60.00000,4.231935e-006
 218.07001,512.81146, 7.643888e-005,0.30002,60.00000,4.320065e-006
 219.07001,512.61162, 8.178471e-005,0.30003,60.00000,4.431761e-006
 220.07001,512.41649, 8.699928e-005,0.29997,60.00000,4.512330e-006
 221.07001,512.22515, 9.176777e-005,0.30000,60.00000,4.532969e-006
 222.07001,512.03620, 9.655120e-005,0.29997,60.00000,4.554608e-006
 223.07001,511.84764, 1.013838e-004,0.30001,60.00000,4.574160e-006
 224.07001,511.65741, 1.060514e-004,0.29998,60.00000,4.579642e-006
 225.07001,511.46377, 1.098996e-004,0.29999,60.00000,4.530633e-006
 226.07001,511.26548, 1.137939e-004,0.30002,60.00000,4.490975e-006
 227.07001,511.06285, 1.186311e-004,0.29998,60.00000,4.511837e-006
 228.07001,510.85743, 1.239615e-004,0.29999,60.00000,4.557214e-006
