#EXPORTTYPE:       ,DATA ALL                        
#FILE:             ,李院长 MgO-C C9-骨 C9-基 1400.ngb-dl9
#FORMAT:           ,NETZSCH5                        
#FTYPE:            ,ANSI                            
#IDENTITY:         ,C9-基                            
#DECIMAL:          ,POINT                           
#SEPARATOR:        ,COMMA                           
#MTYPE:            ,DIL                             
#INSTRUMENT:       ,NETZSCH DIL 402SU               
#PROJECT:          ,123                             
#DATE/TIME:        ,2025/6/4 16:10:34 (UTC+8)       
#CORR. FILE:       ,石墨炉 1400度-1.ngb-cl9             
#TEMPCAL:          ,TCALZERO.TMX                    
#LABORATORY:       ,wust                            
#OPERATOR:         ,                                
#REMARK:           ,                                
#SAMPLE:           ,镁碳                              
#SAMPLE LENGTH /mm:,25.08                           
#MATERIAL:         ,镁碳                              
#MEASMODE:         ,Standard Expansion              
#M.RANGE /μm:      ,50000                           
#CORR. CODE:       ,080                             
#RANGE:            ,1403°C/5.0(K/min)/200°C         
#SEGMENT:          ,S2/2                            
#SEG. 2:           ,1403°C/5.0(K/min)/200°C         
#Tref:             ,210.0°C                         

##Temp./°C,Time/min,dL/Lo,Force/N,Gas Flow(protective)/(ml/min),m. CTE(2)/(1/K)
 200.93700,516.18250,-9.538153e-004,0.30000,60.00000,4.507592e-006
 201.93700,515.98968,-9.491074e-004,0.30008,60.00000,4.484193e-006
 202.93700,515.79505,-9.444493e-004,0.29997,60.00000,4.458554e-006
 203.93700,515.59911,-9.403201e-004,0.30003,60.00000,4.512298e-006
 204.93700,515.40181,-9.361003e-004,0.30002,60.00000,4.539026e-006
 205.93700,515.20309,-9.317479e-004,0.29994,60.00000,4.560368e-006
 206.93700,515.00381,-9.271527e-004,0.29988,60.00000,4.591496e-006
 207.93700,514.80503,-9.220844e-004,0.29997,60.00000,4.622545e-006
 208.93700,514.60791,-9.183619e-004,0.29998,60.00000,4.653334e-006
 209.93700,514.41255,-9.129835e-004,0.29989,60.00000,4.683848e-006
 210.93700,514.21858,-9.079435e-004,0.29990,60.00000,4.714146e-006
 211.93700,514.02577,-9.027996e-004,0.29996,60.00000,4.744263e-006
 212.93700,513.83365,-8.978437e-004,0.30006,60.00000,4.774271e-006
 213.93700,513.64141,-8.936491e-004,0.30000,60.00000,4.804298e-006
 214.93700,513.44839,-8.892783e-004,0.29995,60.00000,4.834694e-006
 215.93700,513.25385,-8.842760e-004,0.30003,60.00000,4.831849e-006
 216.93700,513.05741,-8.797851e-004,0.30003,60.00000,4.784486e-006
 217.93700,512.85921,-8.749769e-004,0.29997,60.00000,4.787016e-006
 218.93700,512.65976,-8.701327e-004,0.29999,60.00000,4.793951e-006
 219.93700,512.45997,-8.648080e-004,0.30012,60.00000,4.847423e-006
 220.93700,512.26087,-8.598965e-004,0.30004,60.00000,4.852576e-006
 221.93700,512.06305,-8.548411e-004,0.30003,60.00000,4.868549e-006
