#EXPORTTYPE:       ,DATA ALL                        
#FILE:             ,李院长 MgO-C C9-骨 C9-基 1400.ngb-dl9
#FORMAT:           ,NETZSCH5                        
#FTYPE:            ,ANSI                            
#IDENTITY:         ,C9-骨                            
#DECIMAL:          ,POINT                           
#SEPARATOR:        ,COMMA                           
#MTYPE:            ,DIL                             
#INSTRUMENT:       ,NETZSCH DIL 402SU               
#PROJECT:          ,123                             
#DATE/TIME:        ,2025/6/4 16:10:34 (UTC+8)       
#CORR. FILE:       ,石墨炉 1400度-1.ngb-cl9             
#TEMPCAL:          ,TCALZERO.TMX                    
#LABORATORY:       ,wust                            
#OPERATOR:         ,                                
#REMARK:           ,                                
#SAMPLE:           ,镁碳                              
#SAMPLE LENGTH /mm:,25.64                           
#MATERIAL:         ,镁碳                              
#MEASMODE:         ,Standard Expansion              
#M.RANGE /μm:      ,50000                           
#CORR. CODE:       ,080                             
#RANGE:            ,25°C/5.0(K/min)/1403°C          
#SEGMENT:          ,S1/2                            
#SEG. 1:           ,25°C/5.0(K/min)/1403°C          
#Tref:             ,30.0°C                          

##Temp./°C,Time/min,dL/Lo,Force/N,Gas Flow(protective)/(ml/min),m. CTE(1)/(1/K)
  50.00000,  4.64564,2.900019e-004,0.29999,60.00000,1.196674e-005
  51.00000,  4.81874,2.985383e-004,0.30000,60.00000,1.180317e-005
  52.00000,  4.98442,3.053045e-004,0.30002,60.00000,1.156802e-005
  53.00000,  5.14655,3.108916e-004,0.29999,60.00000,1.130765e-005
  54.00000,  5.30879,3.161147e-004,0.30003,60.00000,1.105151e-005
  55.00000,  5.47464,3.216284e-004,0.29999,60.00000,1.082728e-005
  56.00000,  5.64792,3.273738e-004,0.29999,60.00000,1.062856e-005
  57.00000,  5.83217,3.326843e-004,0.30000,60.00000,1.043178e-005
  58.00000,  6.03260,3.395248e-004,0.29994,60.00000,1.030415e-005
  59.00000,  6.25424,3.477444e-004,0.30009,60.00000,1.023298e-005
  60.00000,  6.49889,3.598513e-004,0.29998,60.00000,1.029928e-005
  61.00000,  6.75886,3.733519e-004,0.30002,60.00000,1.040402e-005
  62.00000,  7.01386,3.862515e-004,0.30001,60.00000,1.048508e-005
  63.00000,  7.25107,3.984464e-004,0.30001,60.00000,1.053845e-005
  64.00000,  7.46891,4.096221e-004,0.30003,60.00000,1.055647e-005
  65.00000,  7.66939,4.186173e-004,0.30002,60.00000,1.051428e-005
  66.00000,  7.85555,4.276242e-004,0.30001,60.00000,1.047079e-005
  67.00000,  8.03033,4.329592e-004,0.29995,60.00000,1.033170e-005
  68.00000,  8.19788,4.399570e-004,0.30001,60.00000,1.024127e-005
  69.00000,  8.36132,4.447394e-004,0.29998,60.00000,1.010058e-005
  70.00000,  8.52413,4.496242e-004,0.29998,60.00000,9.968573e-006
  71.00000,  8.68946,4.538675e-004,0.30000,60.00000,9.827080e-006
  72.00000,  8.86115,4.588552e-004,0.30000,60.00000,9.712097e-006
  73.00000,  9.04349,4.646135e-004,0.30003,60.00000,9.619060e-006
  74.00000,  9.24096,4.722563e-004,0.29997,60.00000,9.574395e-006
  75.00000,  9.45794,4.806485e-004,0.30000,60.00000,9.549383e-006
  76.00000,  9.69478,4.922579e-004,0.29999,60.00000,9.595271e-006
  77.00000,  9.94260,5.046795e-004,0.30000,60.00000,9.657406e-006
