#EXPORTTYPE:       ,DATA ALL                        
#FILE:             ,李院长 MgO-C C9-骨 C9-基 1400.ngb-dl9
#FORMAT:           ,NETZSCH5                        
#FTYPE:            ,ANSI                            
#IDENTITY:         ,C9-骨                            
#DECIMAL:          ,POINT                           
#SEPARATOR:        ,COMMA                           
#MTYPE:            ,DIL                             
#INSTRUMENT:       ,NETZSCH DIL 402SU               
#PROJECT:          ,123                             
#DATE/TIME:        ,2025/6/4 16:10:34 (UTC+8)       
#CORR. FILE:       ,石墨炉 1400度-1.ngb-cl9             
#TEMPCAL:          ,TCALZERO.TMX                    
#LABORATORY:       ,wust                            
#OPERATOR:         ,                                
#REMARK:           ,                                
#SAMPLE:           ,镁碳                              
#SAMPLE LENGTH /mm:,25.64                           
#MATERIAL:         ,镁碳                              
#MEASMODE:         ,Standard Expansion              
#M.RANGE /μm:      ,50000                           
#CORR. CODE:       ,080                             
#RANGE:            ,1403°C/5.0(K/min)/200°C         
#SEGMENT:          ,S2/2                            
#SEG. 2:           ,1403°C/5.0(K/min)/200°C         
#Tref:             ,210.0°C                         

##Temp./°C,Time/min,dL/Lo,Force/N,Gas Flow(protective)/(ml/min),m. CTE(2)/(1/K)
 200.93700,516.18250,9.742425e-005,0.30000,60.00000,6.029877e-006
 201.93700,515.98968,1.045826e-004,0.30000,60.00000,5.891591e-006
 202.93700,515.79505,1.105741e-004,0.29999,60.00000,5.876388e-006
 203.93700,515.59911,1.163389e-004,0.29999,60.00000,5.894075e-006
 204.93700,515.40181,1.224849e-004,0.30000,60.00000,5.861204e-006
 205.93700,515.20309,1.283996e-004,0.29999,60.00000,5.788325e-006
 206.93700,515.00381,1.341340e-004,0.30000,60.00000,5.715227e-006
 207.93700,514.80503,1.403013e-004,0.30002,60.00000,5.642314e-006
 208.93700,514.60791,1.455397e-004,0.29997,60.00000,5.570010e-006
 209.93700,514.41255,1.517196e-004,0.30000,60.00000,5.498353e-006
 210.93700,514.21858,1.579815e-004,0.30001,60.00000,5.427203e-006
 211.93700,514.02577,1.623399e-004,0.30000,60.00000,5.356478e-006
 212.93700,513.83365,1.671786e-004,0.30002,60.00000,5.286010e-006
 213.93700,513.64141,1.722639e-004,0.29998,60.00000,5.215497e-006
 214.93700,513.44839,1.772661e-004,0.30000,60.00000,5.144616e-006
 215.93700,513.25385,1.825684e-004,0.29999,60.00000,5.136270e-006
 216.93700,513.05741,1.883074e-004,0.30003,60.00000,5.225296e-006
 217.93700,512.85921,1.941650e-004,0.30000,60.00000,5.304428e-006
 218.93700,512.65976,2.001524e-004,0.29999,60.00000,5.381417e-006
 219.93700,512.45997,2.063058e-004,0.30000,60.00000,5.459083e-006
